trait_name,type,dominance,Animal,breedChance,herdTendency,waterNeed,temp_resist,disease_resist,predator_resist
Sharp Teeth,0,1,Predator,0.9,0.9,0.75,1,1,1.25
Grinding Teeth,0,1,Herbivore,1.25,1.25,1.1,1,1,0.9
Mixed Teeth,0,1,Omnivore,1.1,1.1,1,1,1,1
Short Fur,1,0,Herbivore,1.25,1.1,1.1,1.1,1,0.75
Long Fur,1,1,Herbivore,1.1,1.25,1.25,1.25,0.9,0.9
Feathers,1,0,Omnivore,1.25,1.1,0.9,1.1,0.75,0.75
Scales,1,1,Omnivore,1.1,0.9,0.9,0.9,1,1.1
Scales,1,1,Predator,1.1,0.9,0.9,0.9,1,1.1
Skin,1,0,Predator,1.1,1.1,1,0.9,1.25,0.75
Hoof,2,0,Predator,1.1,1.1,1.1,1,0.9,1.1
Hoof,2,1,Herbivore,1.1,1.1,1.1,1,0.9,1.1
Pad,2,0,Herbivore,1.25,1.1,1.25,1,1.1,0.9
Pad,2,1,Omnivore,1.25,1.1,1.25,1,1.1,0.9
Claw,2,0,Omnivore,1,0.9,0.9,1,0.9,1.25
Claw,2,1,Predator,1,0.9,0.9,1,0.9,1.25
Tetrachromat,3,0,Predator,1.25,1.1,1.1,1,1,0.9
Tetrachromat,3,0,Omnivore,1.25,1.1,1.1,1,1,0.9
Trichromat,3,1,Omnivore,1.1,1.1,1.1,1,1,1
Trichromat,3,0,Herbivore,1.1,1.1,1.1,1,1,1
Dichromat,3,1,Herbivore,1.1,1.1,1,1,1,0.9
Infrared,3,1,Predator,0.9,0.9,0.9,1,1,1.25
Large size,4,1,Predator,0.9,1.1,1.25,1.1,1,1.25
Large size,4,0,Herbivore,0.9,1.1,1.25,1.1,1,1.25
Medium size,4,0,Predator,1.25,1,1.1,0.9,1,1.1
Medium size,4,1,Omnivore,1.25,1,1.1,0.9,1,1.1
Small size,4,0,Omnivore,1.1,0.9,0.9,0.9,1.1,1
Insect size,4,1,Herbivore,1,1.25,0.75,0.75,1,0.9
